subject,state,phase,label,stress_stage,is_stress,win_start,win_end,eda_mean,eda_std,eda_slope,eda_peak_rate,acc_mean,acc_std,acc_energy,temp_mean,temp_std,temp_slope,hr_mean,rmssd,sdnn,pnn50,lf_hf
S03,anaerobic,rest,0.0,,0,1140.0,1200.0,2.4894670124999996,0.07552250529868183,-0.0013685803434087518,0.2666666622222223,63.7837733873035,3.233539919933048,4078.825527936686,29.797000000000004,0.083731714421717,-0.00476063820552467,120.39429075755307,0.038053734632684307,0.07300801493796011,0.11058150619637751,1.1243604872852866
S03,anaerobic,rest,0.0,,0,1170.0,1230.0,2.4458757375000006,0.06763126669640501,-0.0027041511849164265,0.09999999833333337,63.91777307081727,0.9927144135637865,4086.467196239391,29.66366666666666,0.06904024591175477,-0.0038906231010957964,120.39429075755307,0.038053734632684307,0.07300801493796011,0.11058150619637751,1.1243604872852866
S04,anaerobic,rest,0.0,,0,0.0,60.0,0.34359775769856776,0.21725407754056159,-0.0023696361249286595,0.39999999333333347,64.45167919130759,1.3891064731552207,4155.948567372994,31.511000000000003,0.8359559398277718,0.006674004757026804,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,rest,0.0,,0,30.0,90.0,0.32921447096354167,0.207489017295098,0.0011806731080943225,0.2833333286111112,64.49217259831988,1.3607147530989745,4161.091871090784,31.838666666666665,0.6441285240971367,0.004358409000155732,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,rest,0.0,,0,60.0,120.0,0.426563910546875,0.180978320156048,0.0038999862645727346,0.18333333027777785,64.50315321960493,1.3770691956827996,4162.553094841529,32.4315,0.741868867568027,0.03525255646799388,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,rest,0.0,,0,90.0,150.0,0.4625755302083333,0.07799679289422588,-0.0005573517504644189,0.049999999166666684,64.47891523609765,1.3294124307138817,4159.297847434802,32.583,0.7979145735394653,-0.01484025764336221,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,rest,0.0,,0,120.0,180.0,0.39686584166666666,0.060088159998923085,-0.0032791292748138084,0.016666666388888893,64.5232947648838,1.479676788458862,4165.445010714385,32.27166666666667,0.645853870641202,0.0042356290907826005,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,rest,0.0,,0,150.0,210.0,0.3171524,0.1765803243629817,-0.002367563935137768,0.48333332527777795,65.5677144263136,4.469676528614467,4319.10318336106,32.530833333333334,0.35916705336406146,0.005788711609576264,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,rest,0.0,,0,180.0,240.0,0.9091456346354168,0.9996316036565844,0.04510153128211863,1.2333333127777781,65.96407416970045,5.635150987842958,4383.01400772153,32.37983333333333,0.41429655910819374,-0.015531658535738782,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,210.0,270.0,1.7202224276041667,0.9111847413741082,0.023173648023620205,1.099999981666667,64.96520562155051,3.8372002117700195,4235.202046915545,32.045833333333334,0.2752531662952413,-0.005748155349919609,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,240.0,300.0,1.9839770135416666,0.46934468213634056,0.0038112867172172913,0.8166666530555559,64.5356593860512,1.2080548999622205,4166.3107290337375,31.953833333333332,0.2883926239617714,-0.006074827687980935,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,270.0,330.0,1.9870135125,0.16166726082344593,-0.003238284058751032,0.5666666572222224,64.47582512101538,1.3239907303350684,4158.884976489771,31.987000000000005,0.306807757398668,0.00040167364016727494,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,300.0,360.0,1.8036847851562499,0.15019971179858116,-0.006877059003086007,0.3499999941666668,64.47439323212923,1.4997440413009877,4159.19661484065,32.12066666666667,0.3783070475450094,0.0013155783954580593,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,330.0,390.0,1.848635405989583,0.22150984413193706,0.010757449773108031,0.7666666538888891,64.676932491586,1.5690946380523576,4185.567654504337,31.608,1.1559293519357772,-0.0185380996197854,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,360.0,420.0,1.9654603749999997,0.1744701624793352,0.0011964645358426187,0.8833333186111114,64.60893791572082,1.5057031627753978,4176.582000611858,31.491666666666667,1.347584464472965,0.02227594229066464,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,390.0,450.0,2.15443238125,0.29972441679115397,0.013427341815830126,0.7333333211111114,64.47515324504,1.3270180113303933,4158.806362773787,31.768666666666668,1.140569253584464,-0.028529384190697987,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,420.0,480.0,2.5761089395833334,0.3744173906043916,0.009843079759197182,0.8833333186111114,64.48315735519759,1.3203845561909022,4159.8209978714,31.749000000000002,0.92394931318408,0.0005161200715287821,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,450.0,510.0,3.2797200770833332,0.7305825503970625,0.03239962699091997,1.4166666430555561,66.1247098175348,6.571488432190754,4415.6617086676,32.159,0.7158926828326527,0.023732078681921034,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,480.0,540.0,4.011823485416667,0.6320112028308907,0.012895750934043972,1.4833333086111116,67.09517920257095,7.141807465169297,4552.768486094657,33.050666666666665,0.8114654781456958,0.036156183267070534,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,510.0,570.0,3.9017249541666668,0.545819700554825,-0.023102106458445498,1.0499999825000004,65.41942190533902,3.6707112259029713,4293.174883332722,33.01316666666666,1.3549532484759597,-0.036049236965919614,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,540.0,600.0,3.394534034375,0.30610534358309405,-0.010316571729109903,0.949999984166667,64.58452391423538,1.5810215907379073,4173.660358498821,32.401333333333326,1.2261205305986664,0.00264282366013268,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,570.0,630.0,3.0554806739583333,0.2660409197984463,-0.008623497445702195,0.7166666547222225,64.7221761728795,1.5112586627619653,4191.243991299024,32.15683333333333,1.2720776858702023,-0.01407274431847806,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,600.0,660.0,2.4284357770833336,0.5474385613081098,-0.02992854818399627,0.43333332611111125,64.77794299561495,1.8167515060322545,4199.48248477781,32.05133333333334,1.6341883476379202,0.006692338408652761,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,630.0,690.0,1.7993073416666665,0.3969361844854256,-0.01027435703744858,0.5333333244444446,64.87942026827542,1.9818768835899285,4213.267010329216,32.005833333333335,1.492721554372713,-0.010570461292731067,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,660.0,720.0,2.1411650411458334,0.6142856800082407,0.031957686098065916,1.1499999808333337,64.82725120441764,2.0820134284317175,4206.907278636837,31.290000000000003,1.8102007255182133,-0.04029958853452354,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,690.0,750.0,3.473285444466146,1.0496051073435353,0.054375878114610275,1.6499999725000005,66.9595917183369,6.074189209107963,4520.482697634414,31.472666666666665,1.8462149266961192,0.015348599802079596,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,720.0,780.0,4.897811006445312,0.8626802680273965,0.039700290455753344,1.5333333077777782,67.4509481169713,6.273275568229615,4588.9843882333,32.074,1.3066295062743176,-0.008115696453063781,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,750.0,810.0,5.620672425520834,0.2641450348512675,0.007868386870214706,1.4166666430555561,65.30848034876288,3.149942563563072,4275.119743618494,32.27916666666667,1.4838219700789201,0.00022139273251242476,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,780.0,840.0,5.9350993234375,0.38820391448223557,0.01342993096993867,1.399999976666667,64.95624759617773,2.825981062963565,4227.300270744173,31.8785,1.7062960128105946,-0.056335144707373844,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
S04,anaerobic,anaerobic,0.0,,0,810.0,870.0,6.217761944791666,0.3639503899880511,0.007881735526224353,1.2166666463888893,64.97071877178955,3.020936578473695,4230.320355534128,31.646,1.341809971642781,0.011984652511327888,103.9222646941916,0.11500380466441318,0.17453769661602336,0.41899441340782123,0.7987496784274529
